date,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
2016-01,33,66,40,40,40,0,,64,19,97,0,97,1,97,0,97,1,97,1,97,0,97,0,97,0,97,0,44,0,44,3,44,0,44,2,44,1,44,0,44,0,44,0,44,0,88,1,88,5,88,1,88,3,88,3,88,0,88,0,88,0,88,0,79,3,79,23,79,3,79,16,79,12,79,0,79,0,79,1,79,0
2016-02,33,61,42,43,30,0,,37,38,100,0,100,1,100,0,100,1,100,0,100,0,100,0,100,0,100,0,42,0,42,3,42,0,42,2,42,1,42,0,42,0,42,0,42,0,92,1,92,5,92,1,92,4,92,2,92,0,92,0,92,0,92,0,78,3,78,22,78,4,78,17,78,9,78,0,78,0,78,1,78,0
2016-03,23,50,39,30,28,0,,74,17,92,0,92,1,92,0,92,1,92,0,92,0,92,0,92,0,92,0,40,0,40,2,40,0,40,1,40,1,40,0,40,0,40,0,40,0,85,0,85,4,85,1,85,3,85,2,85,0,85,0,85,0,85,0,85,2,85,18,85,3,85,12,85,9,85,0,85,0,85,1,85,0
2016-04,17,64,42,45,30,0,,71,18,88,0,88,1,88,0,88,1,88,0,88,0,88,0,88,0,88,0,43,0,43,3,43,0,43,2,43,1,43,0,43,0,43,0,43,0,88,0,88,5,88,1,88,4,88,2,88,0,88,0,88,0,88,0,86,1,86,23,86,4,86,18,86,9,86,0,86,0,86,1,86,0
2016-05,100,75,68,53,36,0,,27,18,95,0,95,1,95,0,95,1,95,1,95,0,95,0,95,0,95,0,45,1,45,3,45,1,45,2,45,1,45,0,45,0,45,0,45,0,90,2,90,6,90,1,90,4,90,2,90,0,90,0,90,0,90,0,84,8,84,27,84,6,84,21,84,11,84,0,84,0,84,0,84,0
2016-06,13,59,52,27,31,0,,29,20,84,0,84,1,84,0,84,1,84,0,84,0,84,0,84,0,84,0,42,0,42,2,42,1,42,1,42,1,42,0,42,0,42,0,42,0,94,0,94,4,94,1,94,2,94,2,94,0,94,0,94,0,94,0,70,1,70,21,70,4,70,11,70,10,70,0,70,0,70,0,70,0
2016-07,7,21,15,22,16,0,,59,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,91,0,37,0,37,1,37,0,37,1,37,1,37,0,37,0,37,0,37,0,67,0,67,2,67,0,67,2,67,1,67,0,67,0,67,0,67,0,78,1,78,7,78,1,78,9,78,5,78,0,78,0,78,1,78,0
2016-08,7,38,14,20,24,0,,20,41,98,0,98,1,98,0,98,0,98,0,98,0,98,0,98,0,98,0,40,0,40,2,40,0,40,1,40,1,40,0,40,0,40,0,40,0,78,0,78,3,78,0,78,2,78,2,78,0,78,0,78,0,78,0,82,1,82,14,82,1,82,8,82,7,82,0,82,0,82,0,82,0
2016-09,18,52,23,36,25,0,,88,0,85,0,85,1,85,0,85,1,85,0,85,0,85,0,85,0,85,0,43,0,43,2,43,0,43,2,43,1,43,0,43,0,43,0,43,0,87,0,87,4,87,0,87,3,87,2,87,0,87,0,87,0,87,0,91,1,91,18,91,2,91,15,91,8,91,0,91,0,91,1,91,0
2016-10,27,84,49,40,35,0,,55,0,90,0,90,1,90,0,90,1,90,1,90,0,90,0,90,0,90,0,48,0,48,4,48,0,48,2,48,1,48,0,48,0,48,0,48,0,95,0,95,6,95,1,95,3,95,2,95,0,95,0,95,0,95,0,86,2,86,30,86,4,86,16,86,11,86,0,86,0,86,1,86,0
