date,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
2021-07-01,0,23,13,55,39,0,,45,0,63,0,63,1,63,0,63,1,63,1,63,0,63,0,63,0,63,0,75,0,75,2,75,0,75,3,75,3,75,0,75,0,75,0,75,0,47,0,47,2,47,1,47,4,47,4,47,0,47,0,47,1,47,0,46,0,46,8,46,2,46,14,46,14,46,0,46,0,46,2,46,0
2021-07-02,0,14,0,47,20,0,,0,0,58,0,58,0,58,0,58,1,58,1,58,0,58,0,58,0,58,0,67,0,67,1,67,0,67,2,67,1,67,0,67,0,67,0,67,0,36,0,36,1,36,0,36,3,36,2,36,0,36,0,36,0,36,0,65,0,65,5,65,0,65,12,65,7,65,0,65,0,65,0,65,0
2021-07-03,0,19,0,26,25,0,,50,0,64,0,64,1,64,0,64,1,64,1,64,0,64,0,64,0,64,0,76,0,76,1,76,0,76,1,76,2,76,0,76,0,76,0,76,0,38,0,38,2,38,0,38,2,38,2,38,0,38,0,38,1,38,0,60,0,60,7,60,0,60,7,60,9,60,0,60,0,60,2,60,0
2021-07-04,30,37,13,66,47,0,,0,0,62,0,62,1,62,0,62,1,62,1,62,0,62,0,62,0,62,0,84,0,84,3,84,0,84,3,84,3,84,0,84,0,84,0,84,0,60,1,60,3,60,1,60,5,60,5,60,0,60,0,60,0,60,0,63,2,63,13,63,2,63,17,63,17,63,0,63,0,63,0,63,0
2021-07-05,0,18,26,32,41,0,,0,0,66,0,66,1,66,0,66,1,66,1,66,0,66,0,66,0,66,0,93,0,93,1,93,1,93,2,93,3,93,0,93,0,93,0,93,0,62,0,62,2,62,1,62,2,62,4,62,0,62,0,62,0,62,0,73,0,73,6,73,4,73,8,73,14,73,0,73,0,73,0,73,0
2021-07-06,57,24,0,16,34,0,,0,0,66,0,66,1,66,0,66,0,66,1,66,0,66,0,66,0,66,0,99,1,99,2,99,0,99,1,99,2,99,0,99,0,99,0,99,0,55,1,55,2,55,0,55,1,55,3,55,0,55,0,55,0,55,0,69,4,69,8,69,0,69,4,69,12,69,0,69,0,69,0,69,0
2021-07-07,0,6,13,23,22,0,,45,0,66,0,66,0,66,0,66,1,66,1,66,0,66,0,66,0,66,0,78,0,78,0,78,0,78,1,78,2,78,0,78,0,78,0,78,0,68,0,68,1,68,1,68,2,68,2,68,0,68,0,68,1,68,0,41,0,41,2,41,2,41,6,41,8,41,0,41,0,41,2,41,0
2021-07-08,0,24,13,41,18,0,,0,56,61,0,61,1,61,0,61,1,61,1,61,0,61,0,61,0,61,0,86,0,86,2,86,0,86,2,86,1,86,0,86,0,86,0,86,0,44,0,44,2,44,1,44,3,44,2,44,0,44,0,44,0,44,1,39,0,39,8,39,2,39,10,39,6,39,0,39,0,39,0,39,2
2021-07-09,0,28,15,10,7,0,,0,0,57,0,57,1,57,0,57,0,57,0,57,0,57,0,57,0,57,0,66,0,66,2,66,0,66,1,66,0,66,0,66,0,66,0,66,0,38,0,38,3,38,1,38,1,38,1,38,0,38,0,38,0,38,0,55,0,55,10,55,2,55,2,55,2,55,0,55,0,55,0,55,0
2021-07-10,0,13,0,17,12,0,,0,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,75,0,75,1,75,0,75,1,75,1,75,0,75,0,75,0,75,0,49,0,49,1,49,0,49,1,49,1,49,0,49,0,49,0,49,0,53,0,53,4,53,0,53,4,53,4,53,0,53,0,53,0,53,0
2021-07-11,56,29,12,23,17,0,,0,0,63,0,63,1,63,0,63,1,63,1,63,0,63,0,63,0,63,0,65,1,65,2,65,0,65,1,65,1,65,0,65,0,65,0,65,0,51,1,51,3,51,1,51,2,51,2,51,0,51,0,51,0,51,0,53,4,53,10,53,2,53,6,53,6,53,0,53,0,53,0,53,0
2021-07-12,0,31,0,50,30,0,,0,0,62,0,62,1,62,0,62,1,62,1,62,0,62,0,62,0,62,0,87,0,87,2,87,0,87,3,87,2,87,0,87,0,87,0,87,0,53,0,53,3,53,0,53,3,53,3,53,0,53,0,53,0,53,0,55,0,55,11,55,0,55,13,55,11,55,0,55,0,55,0,55,0
2021-07-13,0,24,0,32,58,0,,47,0,67,0,67,1,67,0,67,1,67,2,67,0,67,0,67,0,67,0,72,0,72,2,72,0,72,2,72,4,72,0,72,0,72,0,72,0,47,0,47,2,47,0,47,2,47,6,47,0,47,0,47,1,47,0,34,0,34,8,34,0,34,8,34,21,34,0,34,0,34,2,34,0
2021-07-14,30,37,27,25,36,0,,0,0,74,0,74,1,74,0,74,1,74,1,74,0,74,0,74,0,74,0,96,0,96,3,96,1,96,1,96,3,96,0,96,0,96,0,96,0,59,1,59,3,59,1,59,2,59,3,59,0,59,0,59,0,59,0,60,2,60,13,60,4,60,6,60,13,60,0,60,0,60,0,60,0
2021-07-15,0,13,14,17,36,0,,0,0,59,0,59,0,59,0,59,0,59,1,59,0,59,0,59,0,59,0,68,0,68,1,68,0,68,1,68,3,68,0,68,0,68,0,68,0,52,0,52,1,52,1,52,1,52,3,52,0,52,0,52,0,52,0,43,0,43,4,43,2,43,4,43,13,43,0,43,0,43,0,43,0
