Region,date,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
Abu Dhabi,2016-01,11.0,59,24.0,35,67.0,,,,,100,0,100,1,100,0,100,1,100,1,100,0,100,0,100,0,100,0,46,0,46,3,46,0,46,2,46,2,46,0,46,0,46,0,46,0,99,0,99,4,99,1,99,3,99,3,99,0,99,0,99,0,99,0,72,2,72,22,72,3,72,16,72,17,72,0,72,0,72,0,72,0
Abu Dhabi,2016-02,23.0,68,36.0,43,39.0,,,,,92,0,92,2,92,0,92,1,92,1,92,0,92,0,92,0,92,0,47,1,47,4,47,1,47,3,47,1,47,0,47,0,47,0,47,0,92,1,92,4,92,1,92,4,92,2,92,0,92,0,92,0,92,0,75,4,75,25,75,4,75,20,75,10,75,0,75,0,75,0,75,0
Abu Dhabi,2016-03,14.0,39,21.0,25,42.0,,,,,88,0,88,1,88,0,88,1,88,1,88,0,88,0,88,0,88,0,44,0,44,2,44,0,44,2,44,2,44,0,44,0,44,0,44,0,100,0,100,3,100,0,100,2,100,2,100,0,100,0,100,0,100,0,74,2,74,14,74,2,74,11,74,11,74,0,74,0,74,0,74,0
Abu Dhabi,2016-04,14.0,59,11.0,38,42.0,,,,,89,0,89,1,89,0,89,1,89,1,89,0,89,0,89,0,89,0,48,0,48,3,48,0,48,3,48,2,48,0,48,0,48,0,48,0,94,0,94,4,94,0,94,3,94,2,94,0,94,0,94,0,94,0,85,3,85,22,85,1,85,18,85,11,85,0,85,0,85,0,85,0
Abu Dhabi,2016-05,100.0,51,65.0,32,71.0,,,,,91,1,91,1,91,0,91,1,91,1,91,0,91,0,91,0,91,0,46,3,46,3,46,1,46,2,46,3,46,0,46,0,46,0,46,0,83,3,83,3,83,1,83,3,83,3,83,0,83,0,83,0,83,0,80,18,80,19,80,8,80,15,80,18,80,0,80,0,80,0,80,0
Abu Dhabi,2016-06,14.0,62,62.0,20,24.0,,,,,80,0,80,1,80,0,80,1,80,0,80,0,80,0,80,0,80,0,40,0,40,3,40,1,40,1,40,1,40,0,40,0,40,0,40,0,85,0,85,4,85,1,85,2,85,1,85,0,85,0,85,0,85,0,64,3,64,23,64,7,64,9,64,6,64,0,64,0,64,0,64,0
Abu Dhabi,2016-07,4.0,15,17.0,6,24.0,,,,,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,89,0,40,0,40,1,40,0,40,0,40,1,40,0,40,0,40,0,40,0,57,0,57,1,57,0,57,0,57,1,57,0,57,0,57,0,57,0,88,1,88,5,88,2,88,3,88,6,88,0,88,0,88,0,88,0
Abu Dhabi,2016-08,7.0,29,6.0,12,11.0,,,,,95,0,95,1,95,0,95,0,95,0,95,0,95,0,95,0,95,0,38,0,38,2,38,0,38,1,38,0,38,0,38,0,38,0,38,0,71,0,71,2,71,0,71,1,71,0,71,0,71,0,71,0,71,0,75,1,75,11,75,1,75,5,75,3,75,0,75,0,75,0,75,0
Abu Dhabi,2016-09,4.0,21,0.0,25,29.0,,,,,81,0,81,1,81,0,81,1,81,0,81,0,81,0,81,0,81,0,45,0,45,1,45,0,45,2,45,1,45,0,45,0,45,0,45,0,86,0,86,1,86,0,86,2,86,1,86,0,86,0,86,0,86,0,90,1,90,8,90,0,90,11,90,7,90,0,90,0,90,0,90,0
Abu Dhabi,2016-10,17.0,65,43.0,28,43.0,,,,,84,0,84,2,84,0,84,1,84,1,84,0,84,0,84,0,84,0,52,0,52,4,52,1,52,2,52,2,52,0,52,0,52,0,52,0,99,1,99,4,99,1,99,2,99,2,99,0,99,0,99,0,99,0,82,3,82,24,82,5,82,13,82,11,82,0,82,0,82,0,82,0
