Region,date,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
Abu Dhabi,2021-07-01,0,25,36,80,42,,,,,59,0,59,1,59,1,59,3,59,1,59,0,59,0,59,0,59,0,63,0,63,3,63,1,63,5,63,3,63,0,63,0,63,0,63,0,49,0,49,3,49,2,49,6,49,3,49,0,49,0,49,0,49,0,45,0,45,11,45,6,45,23,45,11,45,0,45,0,45,0,45,0
Abu Dhabi,2021-07-02,0,0,0,0,49,,,,,48,0,48,0,48,0,48,0,48,2,48,0,48,0,48,0,48,0,58,0,58,0,58,0,58,0,58,3,58,0,58,0,58,0,58,0,19,0,19,0,19,0,19,0,19,4,19,0,19,0,19,0,19,0,74,0,74,0,74,0,74,0,74,14,74,0,74,0,74,0,74,0
Abu Dhabi,2021-07-03,0,14,0,22,70,,,,,55,0,55,1,55,0,55,1,55,2,55,0,55,0,55,0,55,0,59,0,59,1,59,0,59,1,59,4,59,0,59,0,59,0,59,0,29,0,29,2,29,0,29,2,29,5,29,0,29,0,29,0,29,0,38,0,38,6,38,0,38,6,38,19,38,0,38,0,38,0,38,0
Abu Dhabi,2021-07-04,41,39,0,21,22,,,,,54,1,54,2,54,0,54,1,54,1,54,0,54,0,54,0,54,0,63,1,63,4,63,0,63,1,63,1,63,0,63,0,63,0,63,0,66,2,66,5,66,0,66,2,66,2,66,0,66,0,66,0,66,0,54,6,54,18,54,0,54,6,54,6,54,0,54,0,54,0,54,0
Abu Dhabi,2021-07-05,0,0,0,42,22,,,,,67,0,67,0,67,0,67,1,67,1,67,0,67,0,67,0,67,0,83,0,83,0,83,0,83,3,83,1,83,0,83,0,83,0,83,0,38,0,38,0,38,0,38,3,38,2,38,0,38,0,38,0,38,0,59,0,59,0,59,0,59,12,59,6,59,0,59,0,59,0,59,0
Abu Dhabi,2021-07-06,79,13,0,21,0,,,,,63,1,63,1,63,0,63,1,63,0,63,0,63,0,63,0,63,0,84,3,84,1,84,0,84,1,84,0,84,0,84,0,84,0,84,0,54,3,54,2,54,0,54,2,54,0,54,0,54,0,54,0,54,0,52,12,52,6,52,0,52,6,52,0,52,0,52,0,52,0,52,0
Abu Dhabi,2021-07-07,0,0,36,40,21,,,,,52,0,52,0,52,1,52,1,52,1,52,0,52,0,52,0,52,0,75,0,75,0,75,1,75,3,75,1,75,0,75,0,75,0,75,0,71,0,71,0,71,2,71,3,71,2,71,0,71,0,71,0,71,0,34,0,34,0,34,6,34,11,34,6,34,0,34,0,34,0,34,0
Abu Dhabi,2021-07-08,0,13,0,21,22,,,,,52,0,52,1,52,0,52,1,52,1,52,0,52,0,52,0,52,0,69,0,69,1,69,0,69,1,69,1,69,0,69,0,69,0,69,0,37,0,37,2,37,0,37,2,37,2,37,0,37,0,37,0,37,0,36,0,36,6,36,0,36,6,36,6,36,0,36,0,36,0,36,0
Abu Dhabi,2021-07-09,0,15,43,0,25,,,,,49,0,49,1,49,1,49,0,49,1,49,0,49,0,49,0,49,0,60,0,60,1,60,1,60,0,60,2,60,0,60,0,60,0,60,0,37,0,37,2,37,2,37,0,37,2,37,0,37,0,37,0,37,0,20,0,20,7,20,7,20,0,20,7,20,0,20,0,20,0,20,0
Abu Dhabi,2021-07-10,0,0,0,0,23,,,,,61,0,61,0,61,0,61,0,61,1,61,0,61,0,61,0,61,0,54,0,54,0,54,0,54,0,54,1,54,0,54,0,54,0,54,0,31,0,31,0,31,0,31,0,31,2,31,0,31,0,31,0,31,0,38,0,38,0,38,0,38,0,38,6,38,0,38,0,38,0,38,0
Abu Dhabi,2021-07-11,0,36,0,39,0,,,,,65,0,65,2,65,0,65,1,65,0,65,0,65,0,65,0,65,0,70,0,70,4,70,0,70,2,70,0,70,0,70,0,70,0,70,0,54,0,54,5,54,0,54,3,54,0,54,0,54,0,54,0,54,0,16,0,16,16,16,0,16,11,16,0,16,0,16,0,16,0,16,0
Abu Dhabi,2021-07-12,0,26,0,43,22,,,,,64,0,64,1,64,0,64,1,64,1,64,0,64,0,64,0,64,0,84,0,84,3,84,0,84,3,84,1,84,0,84,0,84,0,84,0,44,0,44,3,44,0,44,3,44,2,44,0,44,0,44,0,44,0,55,0,55,12,55,0,55,12,55,6,55,0,55,0,55,0,55,0
Abu Dhabi,2021-07-13,0,0,0,0,0,,,,,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,72,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0,18,0
Abu Dhabi,2021-07-14,0,27,39,0,0,,,,,68,0,68,1,68,1,68,0,68,0,68,0,68,0,68,0,68,0,76,0,76,3,76,1,76,0,76,0,76,0,76,0,76,0,76,0,55,0,55,3,55,2,55,0,55,0,55,0,55,0,55,0,55,0,73,0,73,12,73,6,73,0,73,0,73,0,73,0,73,0,73,0
Abu Dhabi,2021-07-15,0,27,0,44,45,,,,,60,0,60,1,60,0,60,1,60,2,60,0,60,0,60,0,60,0,63,0,63,3,63,0,63,3,63,3,63,0,63,0,63,0,63,0,54,0,54,3,54,0,54,3,54,3,54,0,54,0,54,0,54,0,37,0,37,12,37,0,37,12,37,12,37,0,37,0,37,0,37,0
Abu Dhabi,2021-07-16,0,0,0,0,0,,,,,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0
Abu Dhabi,2021-07-17,0,15,0,0,0,,,,,51,0,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,59,0,59,1,59,0,59,0,59,0,59,0,59,0,59,0,59,0,19,0,19,2,19,0,19,0,19,0,19,0,19,0,19,0,19,0,54,0,54,7,54,0,54,0,54,0,54,0,54,0,54,0,54,0
