Region,date,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
Alabama,2004-01,0.0,24,0,30,0,,,,0.0,66,0,66,1,66,0,66,0,66,0,66,0,66,0,66,0,66,0,72,0,72,2,72,0,72,1,72,0,72,0,72,0,72,0,72,0,90,0,90,2,90,0,90,1,90,0,90,0,90,0,90,0,90,0,99,0,99,5,99,0,99,2,99,0,99,0,99,0,99,0,99,0
Alabama,2004-02,0.0,47,0,0,0,,,,0.0,59,0,59,2,59,0,59,0,59,0,59,0,59,0,59,0,59,0,68,0,68,4,68,0,68,0,68,0,68,0,68,0,68,0,68,0,100,0,100,4,100,0,100,0,100,0,100,0,100,0,100,0,100,0,76,0,76,10,76,0,76,0,76,0,76,0,76,0,76,0,76,0
Alabama,2004-03,0.0,21,0,0,0,,,,0.0,55,0,55,1,55,0,55,0,55,0,55,0,55,0,55,0,55,0,77,0,77,2,77,0,77,0,77,0,77,0,77,0,77,0,77,0,89,0,89,2,89,0,89,0,89,0,89,0,89,0,89,0,89,0,75,0,75,4,75,0,75,0,75,0,75,0,75,0,75,0,75,0
Alabama,2004-04,0.0,8,0,0,0,,,,0.0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,58,0,74,0,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,92,0,92,1,92,0,92,0,92,0,92,0,92,0,92,0,92,0,100,0,100,2,100,0,100,0,100,0,100,0,100,0,100,0,100,0
Alabama,2004-05,0.0,22,34,27,0,,,,0.0,59,0,59,1,59,0,59,0,59,0,59,0,59,0,59,0,59,0,58,0,58,2,58,1,58,1,58,0,58,0,58,0,58,0,58,0,86,0,86,2,86,1,86,1,86,0,86,0,86,0,86,0,86,0,86,0,86,5,86,2,86,2,86,0,86,0,86,0,86,0,86,0
Alabama,2004-06,0.0,0,0,0,0,,,,100.0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,1,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,0,90,1,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,1
Alabama,2004-07,0.0,7,34,27,0,,,,0.0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,53,0,53,1,53,1,53,1,53,0,53,0,53,0,53,0,53,0,71,0,71,1,71,1,71,1,71,0,71,0,71,0,71,0,71,0,67,0,67,2,67,2,67,2,67,0,67,0,67,0,67,0,67,0
Alabama,2004-08,0.0,13,0,24,98,,,,0.0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,59,0,80,0,80,1,80,0,80,1,80,1,80,0,80,0,80,0,80,0,83,0,83,1,83,0,83,1,83,1,83,0,83,0,83,0,83,0,80,0,80,3,80,0,80,1,80,3,80,0,80,0,80,0,80,0
Alabama,2004-09,0.0,13,0,0,96,,,,0.0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,67,0,67,1,67,0,67,0,67,1,67,0,67,0,67,0,67,0,84,0,84,1,84,0,84,0,84,1,84,0,84,0,84,0,84,0,75,0,75,3,75,0,75,0,75,3,75,0,75,0,75,0,75,0
Alabama,2004-10,0.0,46,0,24,99,,,,0.0,55,0,55,2,55,0,55,0,55,0,55,0,55,0,55,0,55,0,78,0,78,4,78,0,78,1,78,1,78,0,78,0,78,0,78,0,100,0,100,4,100,0,100,1,100,1,100,0,100,0,100,0,100,0,79,0,79,10,79,0,79,1,79,3,79,0,79,0,79,0,79,0
