date,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
2011-01,12,12,39,26,27,17,0,0,100,32,0,32,1,32,0,32,6,32,5,32,0,32,0,32,0,32,0,10,0,10,1,10,0,10,3,10,2,10,0,10,0,10,0,10,0,50,1,50,3,50,1,50,11,50,10,50,0,50,0,50,0,50,0,58,1,58,4,58,1,58,15,58,13,58,0,58,0,58,0,58,0
2011-02,11,13,29,30,30,18,57,32,21,34,0,34,2,34,0,34,6,34,5,34,0,34,0,34,0,34,0,10,0,10,1,10,0,10,3,10,3,10,0,10,0,10,0,10,0,50,1,50,3,50,1,50,13,50,11,50,0,50,0,50,0,50,0,68,1,68,4,68,1,68,17,68,14,68,0,68,0,68,0,68,0
2011-03,11,9,32,100,30,0,0,57,37,30,0,30,1,30,0,30,21,30,5,30,0,30,0,30,0,30,0,9,0,9,1,9,0,9,11,9,3,9,0,9,0,9,0,9,0,47,1,47,2,47,1,47,44,47,11,47,0,47,0,47,0,47,0,63,1,63,3,63,1,63,57,63,14,63,0,63,0,63,0,63,0
2011-04,10,11,56,66,29,0,0,63,0,31,0,31,1,31,1,31,14,31,5,31,0,31,0,31,0,31,0,9,0,9,1,9,0,9,7,9,3,9,0,9,0,9,0,9,0,45,1,45,3,45,1,45,29,45,11,45,0,45,0,45,0,45,0,65,1,65,4,65,2,65,38,65,14,65,0,65,0,65,0,65,0
2011-05,9,11,38,49,30,0,52,29,39,31,0,31,1,31,0,31,10,31,5,31,0,31,0,31,0,31,0,10,0,10,1,10,0,10,5,10,3,10,0,10,0,10,0,10,0,49,1,49,3,49,1,49,21,49,11,49,0,49,0,49,0,49,0,70,1,70,4,70,1,70,28,70,14,70,0,70,0,70,0,70,0
2011-06,8,12,29,47,32,0,0,30,80,29,0,29,1,29,0,29,10,29,6,29,0,29,0,29,0,29,0,9,0,9,1,9,0,9,5,9,3,9,0,9,0,9,0,9,0,48,1,48,3,48,1,48,21,48,12,48,0,48,0,48,0,48,0,66,1,66,4,66,1,66,27,66,15,66,0,66,0,66,0,66,0
2011-07,6,8,25,29,24,0,0,34,21,30,0,30,1,30,0,30,6,30,4,30,0,30,0,30,0,30,0,8,0,8,1,8,0,8,3,8,2,8,0,8,0,8,0,8,0,39,0,39,2,39,1,39,13,39,9,39,0,39,0,39,0,39,0,61,1,61,3,61,1,61,17,61,11,61,0,61,0,61,0,61,0
2011-08,6,6,23,19,18,0,65,0,23,32,0,32,1,32,0,32,4,32,3,32,0,32,0,32,0,32,0,9,0,9,0,9,0,9,2,9,2,9,0,9,0,9,0,9,0,38,0,38,2,38,1,38,8,38,7,38,0,38,0,38,0,38,0,65,1,65,2,65,1,65,11,65,9,65,0,65,0,65,0,65,0
2011-09,5,9,33,23,31,0,100,28,18,35,0,35,1,35,0,35,5,35,5,35,0,35,0,35,0,35,0,10,0,10,1,10,0,10,3,10,3,10,0,10,0,10,0,10,0,53,0,53,2,53,1,53,10,53,11,53,0,53,0,53,0,53,0,59,1,59,3,59,1,59,13,59,15,59,0,59,0,59,0,59,0
2011-10,9,12,27,24,30,0,0,0,18,48,0,48,1,48,0,48,5,48,5,48,0,48,0,48,0,48,0,10,0,10,1,10,0,10,3,10,3,10,0,10,0,10,0,10,0,51,1,51,3,51,1,51,10,51,11,51,0,51,0,51,0,51,0,59,1,59,4,59,1,59,14,59,14,59,0,59,0,59,0,59,0
2011-11,10,17,43,22,35,0,0,81,18,33,0,33,2,33,0,33,5,33,6,33,0,33,0,33,0,33,0,10,0,10,1,10,0,10,2,10,3,10,0,10,0,10,0,10,0,49,1,49,4,49,1,49,10,49,13,49,0,49,0,49,0,49,0,66,1,66,5,66,1,66,13,66,16,66,0,66,0,66,0,66,0
2011-12,12,14,36,19,28,0,0,56,58,29,0,29,2,29,0,29,4,29,5,29,0,29,0,29,0,29,0,8,0,8,1,8,0,8,2,8,2,8,0,8,0,8,0,8,0,40,1,40,3,40,1,40,8,40,10,40,0,40,0,40,0,40,0,65,1,65,4,65,1,65,11,65,13,65,0,65,0,65,0,65,0
2012-01,13,14,27,23,33,0,0,50,33,33,0,33,2,33,0,33,5,33,6,33,0,33,0,33,0,33,0,10,0,10,1,10,0,10,3,10,3,10,0,10,0,10,0,10,0,47,1,47,4,47,1,47,10,47,12,47,0,47,0,47,0,47,0,66,1,66,5,66,1,66,13,66,16,66,0,66,0,66,0,66,0
2012-02,16,17,44,23,34,0,0,0,33,32,1,32,2,32,1,32,5,32,6,32,0,32,0,32,0,32,0,9,0,9,1,9,0,9,2,9,3,9,0,9,0,9,0,9,0,45,1,45,4,45,1,45,10,45,12,45,0,45,0,45,0,45,0,64,1,64,6,64,1,64,13,64,16,64,0,64,0,64,0,64,0
2012-03,16,12,44,29,37,0,46,51,17,32,1,32,2,32,0,32,6,32,6,32,0,32,0,32,0,32,0,10,0,10,1,10,0,10,3,10,3,10,0,10,0,10,0,10,0,48,1,48,3,48,1,48,13,48,13,48,0,48,0,48,0,48,0,66,2,66,4,66,1,66,16,66,17,66,0,66,0,66,0,66,0
2012-04,8,11,30,34,31,0,97,26,51,30,0,30,1,30,0,30,7,30,5,30,0,30,0,30,0,30,0,9,0,9,1,9,0,9,4,9,3,9,0,9,0,9,0,9,0,45,1,45,3,45,1,45,15,45,11,45,0,45,0,45,0,45,0,60,1,60,4,60,1,60,19,60,15,60,0,60,0,60,0,60,0
2012-05,13,12,55,31,35,0,0,49,64,32,0,32,1,32,1,32,7,32,6,32,0,32,0,32,0,32,0,10,0,10,1,10,0,10,3,10,3,10,0,10,0,10,0,10,0,50,1,50,3,50,1,50,13,50,13,50,0,50,0,50,0,50,0,66,1,66,4,66,2,66,18,66,16,66,0,66,0,66,0,66,0
2012-06,10,9,33,30,32,0,47,52,52,30,0,30,1,30,0,30,6,30,6,30,0,30,0,30,0,30,0,10,0,10,1,10,0,10,3,10,3,10,0,10,0,10,0,10,0,44,1,44,2,44,1,44,13,44,11,44,0,44,0,44,0,44,0,77,1,77,3,77,1,77,17,77,15,77,0,77,0,77,0,77,0
2012-07,5,9,33,21,25,15,0,52,0,30,0,30,1,30,0,30,4,30,4,30,0,30,0,30,0,30,0,9,0,9,1,9,0,9,2,9,2,9,0,9,0,9,0,9,0,37,0,37,2,37,1,37,9,37,9,37,0,37,0,37,0,37,0,69,0,69,3,69,1,69,12,69,12,69,0,69,0,69,0,69,0
2012-08,6,6,19,15,18,0,0,0,39,31,0,31,1,31,0,31,3,31,3,31,0,31,0,31,0,31,0,9,0,9,0,9,0,9,2,9,2,9,0,9,0,9,0,9,0,36,0,36,1,36,0,36,7,36,6,36,0,36,0,36,0,36,0,80,1,80,2,80,1,80,9,80,8,80,0,80,0,80,0,80,0
2012-09,8,11,29,19,28,0,0,24,31,33,0,33,1,33,0,33,4,33,5,33,0,33,0,33,0,33,0,10,0,10,1,10,0,10,2,10,2,10,0,10,0,10,0,10,0,51,1,51,3,51,1,51,8,51,10,51,0,51,0,51,0,51,0,66,1,66,4,66,1,66,11,66,13,66,0,66,0,66,0,66,0
2012-10,10,13,31,22,31,0,78,0,14,32,0,32,2,32,0,32,5,32,5,32,0,32,0,32,0,32,0,10,0,10,1,10,0,10,2,10,3,10,0,10,0,10,0,10,0,50,1,50,3,50,1,50,10,50,11,50,0,50,0,50,0,50,0,60,1,60,4,60,1,60,12,60,15,60,0,60,0,60,0,60,0
