date,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
2004-01-01,17,6,31,43,28,33,31,77,30,55,2,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,83,1,83,0,83,0,83,0,83,0,83,0,83,0,83,0,83,0,95,2,95,0,95,0,95,1,95,0,95,0,95,0,95,0,95,0,92,12,92,2,92,1,92,3,92,2,92,0,92,2,92,0,92,0
2004-02-01,22,17,38,40,30,97,23,13,37,51,2,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,83,2,83,1,83,0,83,0,83,0,83,0,83,0,83,0,83,0,100,3,100,1,100,0,100,1,100,0,100,0,100,0,100,0,100,0,88,16,88,5,88,1,88,3,88,2,88,0,88,1,88,0,88,0
2004-03-01,19,14,34,44,39,0,22,64,66,52,2,52,1,52,0,52,0,52,0,52,0,52,0,52,0,52,0,81,2,81,1,81,0,81,0,81,0,81,0,81,0,81,0,81,0,98,3,98,1,98,0,98,1,98,1,98,0,98,0,98,0,98,0,100,14,100,4,100,1,100,3,100,3,100,0,100,1,100,0,100,0
2004-04-01,22,11,31,55,39,0,27,73,29,52,2,52,0,52,0,52,1,52,0,52,0,52,0,52,0,52,0,81,2,81,0,81,0,81,0,81,0,81,0,81,0,81,0,81,0,98,3,98,1,98,0,98,1,98,1,98,0,98,0,98,0,98,0,98,15,98,3,98,1,98,4,98,3,98,0,98,1,98,0,98,0
2004-05-01,23,10,27,41,40,58,29,78,26,53,2,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,77,2,77,0,77,0,77,0,77,0,77,0,77,0,77,0,77,0,91,3,91,1,91,0,91,1,91,1,91,0,91,0,91,0,91,0,90,16,90,3,90,1,90,3,90,3,90,0,90,1,90,0,90,0
2004-06-01,14,7,28,42,29,0,28,23,100,54,1,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,80,1,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,82,2,82,0,82,0,82,1,82,0,82,0,82,0,82,0,82,0,76,10,76,2,76,1,76,3,76,2,76,0,76,1,76,0,76,0
2004-07-01,7,5,5,37,33,0,32,94,62,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,79,1,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,76,1,76,0,76,0,76,1,76,0,76,0,76,0,76,0,76,0,76,5,76,2,76,0,76,3,76,2,76,0,76,2,76,0,76,0
2004-08-01,8,6,24,39,30,0,20,53,31,52,1,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,79,1,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,80,1,80,0,80,0,80,1,80,0,80,0,80,0,80,0,80,0,73,6,73,2,73,0,73,3,73,2,73,0,73,1,73,0,73,0
2004-09-01,18,10,18,47,37,52,24,91,24,51,2,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,85,2,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,92,3,92,1,92,0,92,1,92,1,92,0,92,0,92,0,92,0,80,13,80,3,80,0,80,3,80,3,80,0,80,1,80,0,80,0
2004-10-01,22,11,36,49,40,54,30,41,67,49,2,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,86,2,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,91,3,91,1,91,0,91,1,91,1,91,0,91,0,91,0,91,0,95,16,95,3,95,1,95,3,95,3,95,0,95,1,95,0,95,0
2004-11-01,27,13,47,48,35,27,20,85,56,45,3,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,82,2,82,0,82,0,82,0,82,0,82,0,82,0,82,0,82,0,88,4,88,1,88,0,88,1,88,0,88,0,88,0,88,0,88,0,91,19,91,4,91,1,91,3,91,3,91,0,91,1,91,0,91,0
2004-12-01,23,11,47,39,32,0,28,76,28,42,2,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,71,2,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,72,3,72,1,72,0,72,1,72,0,72,0,72,0,72,0,72,0,83,16,83,3,83,1,83,3,83,2,83,0,83,1,83,0,83,0
2005-01-01,22,10,26,37,36,0,26,83,34,53,2,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0,84,2,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,85,3,85,1,85,0,85,1,85,1,85,0,85,0,85,0,85,0,79,15,79,3,79,0,79,3,79,3,79,0,79,1,79,0,79,0
2005-02-01,23,12,49,38,43,68,32,44,31,49,2,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,82,2,82,0,82,0,82,0,82,0,82,0,82,0,82,0,82,0,89,3,89,1,89,0,89,1,89,1,89,0,89,0,89,0,89,0,83,16,83,3,83,1,83,3,83,3,83,0,83,2,83,0,83,0
2005-03-01,21,10,39,48,39,0,33,82,39,49,2,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,79,2,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,87,3,87,1,87,0,87,1,87,1,87,0,87,0,87,0,87,0,80,15,80,3,80,1,80,3,80,3,80,0,80,2,80,0,80,0
2005-04-01,23,8,59,49,42,0,24,43,40,48,2,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,79,2,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,90,3,90,0,90,0,90,1,90,1,90,0,90,0,90,0,90,0,85,16,85,3,85,1,85,4,85,3,85,0,85,1,85,0,85,0
2005-05-01,21,11,39,37,36,20,32,15,36,49,2,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,77,2,77,0,77,0,77,0,77,0,77,0,77,0,77,0,77,0,85,3,85,1,85,0,85,1,85,1,85,0,85,0,85,0,85,0,82,15,82,3,82,1,82,3,82,3,82,0,82,2,82,0,82,0
2005-06-01,13,9,24,41,24,0,35,86,41,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,51,0,76,1,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,77,2,77,1,77,0,77,1,77,0,77,0,77,0,77,0,77,0,71,9,71,3,71,0,71,3,71,2,71,0,71,2,71,0,71,0
2005-07-01,11,7,27,38,25,20,40,62,9,47,1,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,74,0,67,2,67,0,67,0,67,1,67,0,67,0,67,0,67,0,67,0,65,8,65,2,65,1,65,3,65,2,65,0,65,2,65,0,65,0
2005-08-01,10,7,20,38,32,19,33,58,25,46,1,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,74,0,72,1,72,0,72,0,72,1,72,0,72,0,72,0,72,0,72,0,62,7,62,2,62,0,62,3,62,2,62,0,62,2,62,0,62,0
2005-09-01,28,10,35,46,39,52,37,54,39,47,3,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,79,2,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,76,4,76,1,76,0,76,1,76,1,76,0,76,0,76,0,76,0,65,20,65,3,65,1,65,3,65,3,65,0,65,2,65,0,65,0
2005-10-01,26,10,30,38,38,0,37,82,44,44,2,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,79,2,79,0,79,0,79,0,79,0,79,0,79,0,79,0,79,0,78,4,78,1,78,0,78,1,78,1,78,0,78,0,78,0,78,0,84,18,84,3,84,1,84,3,84,3,84,0,84,2,84,0,84,0
2005-11-01,30,11,35,41,33,100,29,32,38,41,3,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,76,3,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,77,4,77,1,77,0,77,1,77,0,77,0,77,0,77,0,77,0,83,21,83,3,83,1,83,3,83,2,83,0,83,1,83,0,83,0
2005-12-01,22,11,41,38,33,16,25,37,39,37,2,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,65,2,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,60,3,60,1,60,0,60,1,60,0,60,0,60,0,60,0,60,0,68,16,68,3,68,1,68,3,68,2,68,0,68,1,68,0,68,0
2006-01-01,22,9,35,47,34,0,30,49,22,46,2,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,80,2,80,0,80,0,80,0,80,0,80,0,80,0,80,0,80,0,75,3,75,1,75,0,75,1,75,0,75,0,75,0,75,0,75,0,71,16,71,3,71,1,71,3,71,2,71,0,71,1,71,0,71,0
2006-02-01,27,11,36,60,41,15,34,79,53,45,3,45,0,45,0,45,1,45,0,45,0,45,0,45,0,45,0,77,2,77,0,77,0,77,1,77,0,77,0,77,0,77,0,77,0,77,4,77,1,77,0,77,1,77,1,77,0,77,0,77,0,77,0,72,19,72,3,72,1,72,4,72,3,72,0,72,2,72,0,72,0
2006-03-01,30,10,48,51,38,26,36,65,41,47,3,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,78,3,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,4,78,1,78,0,78,1,78,1,78,0,78,0,78,0,78,0,84,21,84,3,84,1,84,4,84,3,84,0,84,2,84,0,84,0
2006-04-01,42,14,65,66,43,41,37,79,40,46,4,46,1,46,0,46,1,46,0,46,0,46,0,46,0,46,0,76,4,76,1,76,0,76,1,76,0,76,0,76,0,76,0,76,0,77,6,77,1,77,0,77,1,77,1,77,0,77,0,77,0,77,0,82,30,82,4,82,1,82,5,82,3,82,0,82,2,82,0,82,0
2006-05-01,38,12,43,60,39,26,42,40,55,48,3,48,0,48,0,48,1,48,0,48,0,48,0,48,0,48,0,73,3,73,0,73,0,73,1,73,0,73,0,73,0,73,0,73,0,69,5,69,1,69,0,69,1,69,1,69,0,69,0,69,0,69,0,78,27,78,3,78,1,78,4,78,3,78,0,78,2,78,0,78,0
2006-06-01,31,10,48,47,37,0,38,68,37,47,3,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,71,3,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,65,4,65,1,65,0,65,1,65,1,65,0,65,0,65,0,65,0,58,22,58,3,58,1,58,3,58,3,58,0,58,2,58,0,58,0
2006-07-01,31,9,26,42,30,13,38,41,30,44,3,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,71,3,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,59,4,59,1,59,0,59,1,59,0,59,0,59,0,59,0,59,0,55,22,55,3,55,0,55,3,55,2,55,0,55,2,55,0,55,0
2006-08-01,22,7,34,45,33,0,39,47,36,46,2,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,71,2,71,0,71,0,71,0,71,0,71,0,71,0,71,0,71,0,65,3,65,0,65,0,65,1,65,0,65,0,65,0,65,0,65,0,49,16,49,2,49,1,49,3,49,2,49,0,49,2,49,0,49,0
2006-09-01,33,12,40,47,44,24,38,47,25,44,3,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,75,3,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0,71,5,71,1,71,0,71,1,71,1,71,0,71,0,71,0,71,0,64,23,64,4,64,1,64,3,64,3,64,0,64,2,64,0,64,0
2006-10-01,35,12,53,50,47,33,35,60,30,42,3,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,76,3,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,68,5,68,1,68,0,68,1,68,1,68,0,68,0,68,0,68,0,84,25,84,4,84,1,84,4,84,3,84,0,84,2,84,0,84,0
2006-11-01,41,14,60,52,44,22,40,60,32,40,4,40,1,40,0,40,0,40,0,40,0,40,0,40,0,40,0,71,4,71,1,71,0,71,0,71,0,71,0,71,0,71,0,71,0,65,6,65,1,65,0,65,1,65,1,65,0,65,0,65,0,65,0,84,29,84,4,84,1,84,4,84,3,84,0,84,2,84,0,84,0
2006-12-01,46,12,50,46,38,0,40,73,23,36,4,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,64,4,64,0,64,0,64,0,64,0,64,0,64,0,64,0,64,0,52,6,52,1,52,0,52,1,52,1,52,0,52,0,52,0,52,0,66,33,66,4,66,1,66,3,66,3,66,0,66,2,66,0,66,0
2007-01-01,65,19,58,54,39,10,44,56,31,46,6,46,1,46,0,46,0,46,0,46,0,46,0,46,0,46,0,77,6,77,1,77,0,77,0,77,0,77,0,77,0,77,0,77,0,70,9,70,1,70,0,70,1,70,1,70,0,70,0,70,0,70,0,74,47,74,6,74,1,74,4,74,3,74,0,74,2,74,0,74,0
2007-02-01,86,25,67,58,56,10,51,60,28,43,8,43,1,43,0,43,1,43,1,43,0,43,0,43,0,43,0,73,8,73,1,73,0,73,1,73,0,73,0,73,0,73,0,73,0,67,12,67,1,67,0,67,1,67,1,67,0,67,1,67,0,67,0,72,61,72,8,72,1,72,4,72,4,72,0,72,3,72,0,72,0
2007-03-01,87,21,71,61,48,19,48,72,25,45,8,45,1,45,0,45,1,45,0,45,0,45,0,45,0,45,0,72,8,72,1,72,0,72,1,72,0,72,0,72,0,72,0,72,0,67,12,67,1,67,0,67,1,67,1,67,0,67,0,67,0,67,0,76,62,76,6,76,1,76,4,76,3,76,0,76,2,76,0,76,0
2007-04-01,100,24,95,61,49,19,69,65,32,45,9,45,1,45,0,45,1,45,0,45,0,45,0,45,0,45,0,73,9,73,1,73,0,73,1,73,0,73,0,73,0,73,0,73,0,66,14,66,1,66,0,66,1,66,1,66,0,66,1,66,0,66,0,74,71,74,7,74,2,74,4,74,4,74,0,74,3,74,0,74,0
2007-05-01,80,20,87,62,47,9,59,83,41,46,7,46,1,46,0,46,1,46,0,46,0,46,0,46,0,46,0,73,7,73,1,73,0,73,1,73,0,73,0,73,0,73,0,73,0,65,11,65,1,65,0,65,1,65,1,65,0,65,1,65,0,65,0,76,57,76,6,76,2,76,4,76,3,76,0,76,3,76,0,76,0
2007-06-01,34,15,61,55,49,18,56,88,50,46,3,46,1,46,0,46,1,46,0,46,0,46,0,46,0,46,0,72,3,72,1,72,0,72,0,72,0,72,0,72,0,72,0,72,0,58,5,58,1,58,0,58,1,58,1,58,0,58,1,58,0,58,0,61,24,61,4,61,1,61,4,61,3,61,0,61,3,61,0,61,0
2007-07-01,29,14,49,51,45,34,48,73,35,46,3,46,1,46,0,46,0,46,0,46,0,46,0,46,0,46,0,73,3,73,1,73,0,73,0,73,0,73,0,73,0,73,0,73,0,56,4,56,1,56,0,56,1,56,1,56,0,56,0,56,0,56,0,63,20,63,4,63,1,63,4,63,3,63,0,63,2,63,0,63,0
2007-08-01,26,14,44,47,45,0,47,73,35,46,2,46,1,46,0,46,0,46,0,46,0,46,0,46,0,46,0,74,2,74,1,74,0,74,0,74,0,74,0,74,0,74,0,74,0,61,4,61,1,61,0,61,1,61,1,61,0,61,0,61,0,61,0,59,18,59,4,59,1,59,3,59,3,59,0,59,2,59,0,59,0
2007-09-01,38,16,56,50,63,25,54,54,43,44,3,44,1,44,0,44,0,44,1,44,0,44,0,44,0,44,0,74,3,74,1,74,0,74,0,74,1,74,0,74,0,74,0,74,0,64,5,64,1,64,0,64,1,64,1,64,0,64,1,64,0,64,0,65,27,65,5,65,1,65,4,65,4,65,0,65,3,65,0,65,0
2007-10-01,59,23,76,59,68,15,62,69,52,44,5,44,1,44,0,44,1,44,1,44,0,44,0,44,0,44,0,80,5,80,1,80,0,80,1,80,1,80,0,80,0,80,0,80,0,65,8,65,1,65,0,65,1,65,1,65,0,65,1,65,0,65,0,79,42,79,7,79,1,79,4,79,5,79,0,79,3,79,0,79,0
2007-11-01,65,25,81,68,60,22,62,89,62,41,6,41,1,41,0,41,1,41,1,41,0,41,0,41,0,41,0,73,6,73,1,73,0,73,1,73,1,73,0,73,0,73,0,73,0,61,9,61,1,61,0,61,1,61,1,61,0,61,1,61,0,61,0,79,46,79,7,79,2,79,5,79,4,79,0,79,3,79,0,79,0
