,Region,Global warming,climate change,greenhouse gas,renewable energy,sustainability,Climate disaster,green energy,green investment,green production,Job_Global warming,Global warming_Job,Job_climate change,climate change_Job,Job_greenhouse gas,greenhouse gas_Job,Job_renewable energy,renewable energy_Job,Job_sustainability,sustainability_Job,Job_Climate disaster,Climate disaster_Job,Job_green energy,green energy_Job,Job_green investment,green investment_Job,Job_green production,green production_Job,health_Global warming,Global warming_health,health_climate change,climate change_health,health_greenhouse gas,greenhouse gas_health,health_renewable energy,renewable energy_health,health_sustainability,sustainability_health,health_Climate disaster,Climate disaster_health,health_green energy,green energy_health,health_green investment,green investment_health,health_green production,green production_health,education_Global warming,Global warming_education,education_climate change,climate change_education,education_greenhouse gas,greenhouse gas_education,education_renewable energy,renewable energy_education,education_sustainability,sustainability_education,education_Climate disaster,Climate disaster_education,education_green energy,green energy_education,education_green investment,green investment_education,education_green production,green production_education,drugs_Global warming,Global warming_drugs,drugs_climate change,climate change_drugs,drugs_greenhouse gas,greenhouse gas_drugs,drugs_renewable energy,renewable energy_drugs,drugs_sustainability,sustainability_drugs,drugs_Climate disaster,Climate disaster_drugs,drugs_green energy,green energy_drugs,drugs_green investment,green investment_drugs,drugs_green production,green production_drugs
2004-01-01,Alabama,28,25,0,74,0,,98,,0,57,2,57,1,57,0,57,1,57,0,57,0,57,1,57,0,57,0,62,2,62,1,62,0,62,1,62,0,62,0,62,1,62,0,62,0,88,2,88,1,88,0,88,1,88,0,88,0,88,1,88,0,88,0,95,12,95,4,95,0,95,4,95,0,95,0,95,4,95,0,95,0
2004-02-01,Alabama,45,25,0,0,0,,0,,0,47,3,47,1,47,0,47,0,47,0,47,0,47,0,47,0,47,0,60,3,60,1,60,0,60,0,60,0,60,0,60,0,60,0,60,0,100,4,100,1,100,0,100,0,100,0,100,0,100,0,100,0,100,0,65,19,65,4,65,0,65,0,65,0,65,0,65,0,65,0,65,0
2004-03-01,Alabama,12,33,0,0,0,,0,,0,44,1,44,1,44,0,44,0,44,0,44,0,44,0,44,0,44,0,83,1,83,1,83,0,83,0,83,0,83,0,83,0,83,0,83,0,85,1,85,1,85,0,85,0,85,0,85,0,85,0,85,0,85,0,51,5,51,5,51,0,51,0,51,0,51,0,51,0,51,0,51,0
2004-04-01,Alabama,9,0,0,0,0,,0,,0,50,1,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,75,1,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0,86,1,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,78,4,78,0,78,0,78,0,78,0,78,0,78,0,78,0,78,0
2004-05-01,Alabama,25,0,0,0,0,,0,,0,48,2,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,56,2,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,84,2,84,0,84,0,84,0,84,0,84,0,84,0,84,0,84,0,75,11,75,0,75,0,75,0,75,0,75,0,75,0,75,0,75,0
2004-06-01,Alabama,0,0,0,0,0,,0,,100,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,1,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,1,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,0,86,1,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,4
2004-07-01,Alabama,0,0,0,0,56,,0,,0,42,0,42,0,42,0,42,0,42,1,42,0,42,0,42,0,42,0,60,0,60,0,60,0,60,0,60,1,60,0,60,0,60,0,60,0,69,0,69,0,69,0,69,0,69,1,69,0,69,0,69,0,69,0,49,0,49,0,49,0,49,0,49,4,49,0,49,0,49,0,49,0
2004-08-01,Alabama,15,0,0,0,99,,0,,0,49,1,49,0,49,0,49,0,49,1,49,0,49,0,49,0,49,0,81,1,81,0,81,0,81,0,81,1,81,0,81,0,81,0,81,0,89,1,89,0,89,0,89,0,89,1,89,0,89,0,89,0,89,0,91,6,91,0,91,0,91,0,91,6,91,0,91,0,91,0,91,0
2004-09-01,Alabama,14,0,0,0,97,,0,,0,39,1,39,0,39,0,39,0,39,1,39,0,39,0,39,0,39,0,71,1,71,0,71,0,71,0,71,1,71,0,71,0,71,0,71,0,76,1,76,0,76,0,76,0,76,1,76,0,76,0,76,0,76,0,74,6,74,0,74,0,74,0,74,6,74,0,74,0,74,0,74,0
2004-10-01,Alabama,52,0,0,0,100,,0,,0,41,4,41,0,41,0,41,0,41,1,41,0,41,0,41,0,41,0,87,4,87,0,87,0,87,0,87,1,87,0,87,0,87,0,87,0,93,5,93,0,93,0,93,0,93,1,93,0,93,0,93,0,93,0,54,22,54,0,54,0,54,0,54,6,54,0,54,0,54,0,54,0
2004-11-01,Alabama,23,21,0,0,52,,0,,0,47,2,47,1,47,0,47,0,47,1,47,0,47,0,47,0,47,0,68,2,68,1,68,0,68,0,68,1,68,0,68,0,68,0,68,0,87,2,87,1,87,0,87,0,87,1,87,0,87,0,87,0,87,0,63,10,63,3,63,0,63,0,63,3,63,0,63,0,63,0,63,0
2004-12-01,Alabama,7,19,0,0,0,,0,,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,55,0,51,1,51,1,51,0,51,0,51,0,51,0,51,0,51,0,51,0,39,3,39,3,39,0,39,0,39,0,39,0,39,0,39,0,39,0
2005-01-01,Alabama,12,16,0,0,0,,0,,0,57,1,57,0,57,0,57,0,57,0,57,0,57,0,57,0,57,0,70,1,70,0,70,0,70,0,70,0,70,0,70,0,70,0,70,0,90,1,90,1,90,0,90,0,90,0,90,0,90,0,90,0,90,0,46,5,46,3,46,0,46,0,46,0,46,0,46,0,46,0,46,0
2005-02-01,Alabama,31,17,68,0,0,,0,,0,46,2,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,76,2,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,77,3,77,1,77,1,77,0,77,0,77,0,77,0,77,0,77,0,71,13,71,3,71,3,71,0,71,0,71,0,71,0,71,0,71,0
2005-03-01,Alabama,11,0,0,43,73,,0,,0,43,1,43,0,43,0,43,0,43,1,43,0,43,0,43,0,43,0,71,1,71,0,71,0,71,0,71,1,71,0,71,0,71,0,71,0,82,1,82,0,82,0,82,0,82,1,82,0,82,0,82,0,82,0,64,5,64,0,64,0,64,2,64,5,64,0,64,0,64,0,64,0
2005-04-01,Alabama,18,0,0,0,40,,0,,0,48,1,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,73,1,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,94,2,94,0,94,0,94,0,94,1,94,0,94,0,94,0,94,0,100,8,100,0,100,0,100,0,100,3,100,0,100,0,100,0,100,0
2005-05-01,Alabama,11,15,0,0,0,,0,,0,49,1,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,62,1,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,85,1,85,0,85,0,85,0,85,0,85,0,85,0,85,0,85,0,93,5,93,2,93,0,93,0,93,0,93,0,93,0,93,0,93,0
2005-06-01,Alabama,11,0,0,0,0,,0,,0,52,1,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0,73,1,73,0,73,0,73,0,73,0,73,0,73,0,73,0,73,0,77,1,77,0,77,0,77,0,77,0,77,0,77,0,77,0,77,0,53,5,53,0,53,0,53,0,53,0,53,0,53,0,53,0,53,0
2005-07-01,Alabama,16,0,0,0,0,,0,,0,49,1,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,63,1,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,82,1,82,0,82,0,82,0,82,0,82,0,82,0,82,0,82,0,67,7,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0
2005-08-01,Alabama,41,42,0,0,0,,0,,0,43,3,43,1,43,0,43,0,43,0,43,0,43,0,43,0,43,0,68,3,68,1,68,0,68,0,68,0,68,0,68,0,68,0,68,0,87,4,87,1,87,0,87,0,87,0,87,0,87,0,87,0,87,0,68,18,68,7,68,0,68,0,68,0,68,0,68,0,68,0,68,0
2005-09-01,Alabama,42,0,0,0,0,,0,,0,49,3,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,76,3,76,0,76,0,76,0,76,0,76,0,76,0,76,0,76,0,87,4,87,0,87,0,87,0,87,0,87,0,87,0,87,0,87,0,52,18,52,0,52,0,52,0,52,0,52,0,52,0,52,0,52,0
2005-10-01,Alabama,27,0,100,36,30,,0,,0,41,2,41,0,41,1,41,0,41,0,41,0,41,0,41,0,41,0,69,2,69,0,69,1,69,0,69,0,69,0,69,0,69,0,69,0,74,2,74,0,74,1,74,0,74,0,74,0,74,0,74,0,74,0,77,12,77,0,77,4,77,2,77,2,77,0,77,0,77,0,77,0
2005-11-01,Alabama,32,0,0,0,31,,0,,0,43,2,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,67,2,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,65,3,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,77,14,77,0,77,0,77,0,77,2,77,0,77,0,77,0,77,0
